"Personas mayores: Centros, plazas y personas usuarias de la C.A. de Euskadi por tipo de población, centros, plazas, personas usuarias, territorio histórico, titularidad y periodo"

"tipo de población","centros, plazas, personas usuarias","territorio histórico","titularidad","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Autónomas","-Centros","Bizkaia","Público",5,4,4,2,1,1,1,1,1,1,1,2,3,4,5,6,5,5,5,5,5,5,4,5,5,5,5,6,6,6
"Autónomas","-Centros","Bizkaia","Privado",13,14,11,17,26,50,49,33,26,23,24,27,20,20,14,14,16,11,10,10,9,10,9,8,8,7,7,7,6,6
"Autónomas","-Centros","Gipuzkoa","Total",13,14,13,13,19,22,23,23,24,29,31,32,35,38,41,55,48,51,58,61,61,61,60,60,68,59,47,48,50,51
"Autónomas","-Centros","Gipuzkoa","Público",11,12,11,10,16,17,19,21,22,25,27,28,33,35,38,52,45,48,57,61,61,61,60,60,68,59,47,48,50,51
"Autónomas","-Centros","Gipuzkoa","Privado",2,2,2,3,3,5,4,2,2,4,4,4,2,3,3,3,3,3,1,:,:,:,:,:,:,:,:,:,:,:
"Autónomas","-Plazas","C.A. de Euskadi","Total",1442,1595,1198,1347,1590,1999,2003,1312,1284,1176,1209,1371,1245,1332,1223,1264,1316,1220,1231,1056,1041,1041,1074,1039,1057,1008,992,999,979,1008
"Autónomas","-Plazas","C.A. de Euskadi","Público",530,637,696,505,407,500,536,564,575,631,720,825,893,951,940,1021,1026,1011,1116,938,931,931,970,945,961,936,918,930,915,944
"Autónomas","-Plazas","C.A. de Euskadi","Privado",912,958,502,842,1183,1499,1467,748,709,545,489,546,352,381,283,243,290,209,115,118,110,110,104,94,96,72,74,69,64,64
"Autónomas","-Plazas","Araba/Álava","Total",380,448,452,451,537,605,617,587,595,459,461,459,459,459,399,375,375,358,363,366,315,315,328,328,328,317,296,291,300,302
"Autónomas","-Plazas","Araba/Álava","Público",183,251,238,234,240,304,324,321,341,351,394,394,394,386,356,356,:,:,:,343,300,300,313,313,313,302,281,281,281,283
"Autónomas","-Plazas","Araba/Álava","Privado",197,197,214,217,297,301,293,266,254,108,67,65,65,73,43,19,:,:,:,23,15,15,15,15,15,15,15,10,19,19
"Autónomas","-Plazas","Bizkaia","Total",962,989,578,723,803,1094,1079,484,457,413,403,471,306,324,269,261,302,171,172,171,165,166,149,151,152,121,133,135,124,124
