"Victimizaciones (número de casos) por ámbito teritorial, violencia contra las mujeres y periodo"

"Gorbeialdea / Estribaciones del Gorbea","Violencia sexual en otros tipos de relación(*)",:,2,1,0,1,2,1,1
"Markina-Ondarroa","Total",36,35,44,39,62,59,78,83
"Markina-Ondarroa","Violencia ejercida por pareja / expareja",:,21,27,25,38,34,58,45
"Markina-Ondarroa","Violencia intrafamiliar",:,9,15,10,20,16,14,31
"Markina-Ondarroa","Violencia sexual en otros tipos de relación(*)",:,5,2,4,4,9,6,7
"Plentzia-Mungia","Total",147,94,120,135,105,131,135,121
"Plentzia-Mungia","Violencia ejercida por pareja / expareja",:,60,90,103,76,84,79,85
"Plentzia-Mungia","Violencia intrafamiliar",:,24,24,25,23,35,41,19
"Plentzia-Mungia","Violencia sexual en otros tipos de relación(*)",:,10,6,7,6,12,15,17
"Tolosaldea","Total",91,75,96,99,181,127,172,140
"Tolosaldea","Violencia ejercida por pareja / expareja",:,58,67,68,120,77,106,102
"Tolosaldea","Violencia intrafamiliar",:,13,15,25,43,42,40,21
"Tolosaldea","Violencia sexual en otros tipos de relación(*)",:,4,14,6,18,8,26,17
"Urola Kosta","Total",126,88,97,99,126,125,158,154
"Urola Kosta","Violencia ejercida por pareja / expareja",:,54,71,68,95,88,119,105
"Urola Kosta","Violencia intrafamiliar",:,21,19,17,18,26,24,31
"Urola Kosta","Violencia sexual en otros tipos de relación(*)",:,13,7,14,13,11,15,18
"Abadiño","Total",17,13,9,15,22,12,7,16
"Abadiño","Violencia ejercida por pareja / expareja",:,11,7,12,9,8,6,12
"Abadiño","Violencia intrafamiliar",:,0,2,1,12,2,1,4
"Abadiño","Violencia sexual en otros tipos de relación(*)",:,2,0,2,1,2,0,:
"Abaltzisketa","Total",0,0,1,0,0,0,1,:
"Abaltzisketa","Violencia ejercida por pareja / expareja",:,0,1,0,0,0,1,:
"Abaltzisketa","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Abaltzisketa","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Abanto y Ciérvana-Abanto Zierbena","Total",27,26,41,32,28,55,52,28
"Abanto y Ciérvana-Abanto Zierbena","Violencia ejercida por pareja / expareja",:,16,24,25,25,26,37,26
"Abanto y Ciérvana-Abanto Zierbena","Violencia intrafamiliar",:,9,17,7,3,4,11,2
"Abanto y Ciérvana-Abanto Zierbena","Violencia sexual en otros tipos de relación(*)",:,1,0,0,0,25,4,:
"Aduna","Total",3,0,3,0,0,0,1,4
"Aduna","Violencia ejercida por pareja / expareja",:,0,3,0,0,0,1,3
"Aduna","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Aduna","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,1
"Agurain/Salvatierra","Total",13,11,15,9,12,20,17,16
"Agurain/Salvatierra","Violencia ejercida por pareja / expareja",:,6,13,5,8,15,16,16
"Agurain/Salvatierra","Violencia intrafamiliar",:,5,2,3,3,2,0,:
"Agurain/Salvatierra","Violencia sexual en otros tipos de relación(*)",:,0,0,1,1,3,1,:
"Aia","Total",3,4,5,0,3,4,4,2
"Aia","Violencia ejercida por pareja / expareja",:,3,3,0,0,2,1,1
"Aia","Violencia intrafamiliar",:,1,1,0,1,2,3,:
"Aia","Violencia sexual en otros tipos de relación(*)",:,0,1,0,2,0,0,1
"Aizarnazabal","Total",0,0,0,1,0,2,0,4
"Aizarnazabal","Violencia ejercida por pareja / expareja",:,0,0,1,0,0,0,3
"Aizarnazabal","Violencia intrafamiliar",:,0,0,0,0,2,0,:
"Aizarnazabal","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,1
"Ajangiz","Total",0,0,0,0,0,0,0,:
"Ajangiz","Violencia ejercida por pareja / expareja",:,0,0,0,0,0,0,:
"Ajangiz","Violencia intrafamiliar",:,0,0,0,0,0,0,:
"Ajangiz","Violencia sexual en otros tipos de relación(*)",:,0,0,0,0,0,0,:
"Albiztur","Total",0,0,0,0,0,1,0,:
"Albiztur","Violencia ejercida por pareja / expareja",:,0,0,0,0,1,0,:
