Año;Ámbito territorial;Magnitud;Valor
1997;"Bizkaia";"Tasa % por 1000 Habitantes";8,6
1998;"Bizkaia";"Defunciones Totales";10071
1998;"Bizkaia";"Tasa % por 1000 Habitantes";8,9
1999;"Bizkaia";"Defunciones Totales";10110
1999;"Bizkaia";"Tasa % por 1000 Habitantes";9
2000;"Bizkaia";"Defunciones Totales";10214
2000;"Bizkaia";"Tasa % por 1000 Habitantes";9,1
2001;"Bizkaia";"Defunciones Totales";10008
2001;"Bizkaia";"Tasa % por 1000 Habitantes";8,9
2002;"Bizkaia";"Defunciones Totales";10430
2002;"Bizkaia";"Tasa % por 1000 Habitantes";9,3
2003;"Bizkaia";"Defunciones Totales";10684
2003;"Bizkaia";"Tasa % por 1000 Habitantes";9,5
2004;"Bizkaia";"Defunciones Totales";10388
2004;"Bizkaia";"Tasa % por 1000 Habitantes";9,3
2005;"Bizkaia";"Defunciones Totales";10811
2005;"Bizkaia";"Tasa % por 1000 Habitantes";9,6
2006;"Bizkaia";"Defunciones Totales";10361
2006;"Bizkaia";"Tasa % por 1000 Habitantes";9,1
2007;"Bizkaia";"Defunciones Totales";10638
2007;"Bizkaia";"Tasa % por 1000 Habitantes";9,3
2008;"Bizkaia";"Defunciones Totales";10755
2008;"Bizkaia";"Tasa % por 1000 Habitantes";9,4
2009;"Bizkaia";"Defunciones Totales";10865
2009;"Bizkaia";"Tasa % por 1000 Habitantes";9,4
2010;"Bizkaia";"Defunciones Totales";10797
2010;"Bizkaia";"Tasa % por 1000 Habitantes";9,4
2011;"Bizkaia";"Defunciones Totales";11012
2011;"Bizkaia";"Tasa % por 1000 Habitantes";9,5
2012;"Bizkaia";"Defunciones Totales";11246
2012;"Bizkaia";"Tasa % por 1000 Habitantes";9,8
2013;"Bizkaia";"Defunciones Totales";10728
2013;"Bizkaia";"Tasa % por 1000 Habitantes";9,3
2014;"Bizkaia";"Defunciones Totales";11155
2014;"Bizkaia";"Tasa % por 1000 Habitantes";9,8
2015;"Bizkaia";"Defunciones Totales";11810
2015;"Bizkaia";"Tasa % por 1000 Habitantes";10,3
2016;"Bizkaia";"Defunciones Totales";11759
2016;"Bizkaia";"Tasa % por 1000 Habitantes";10,3
2017;"Bizkaia";"Defunciones Totales";11813
2017;"Bizkaia";"Tasa % por 1000 Habitantes";10,4
2018;"Bizkaia";"Defunciones Totales";11950
2018;"Bizkaia";"Tasa % por 1000 Habitantes";10,5
2019;"Bizkaia";"Defunciones Totales";11961
2019;"Bizkaia";"Tasa % por 1000 Habitantes";10,5
2020;"Bizkaia";"Defunciones Totales";13243
2020;"Bizkaia";"Tasa % por 1000 Habitantes";11,5
2021;"Bizkaia";"Defunciones Totales";12486
2021;"Bizkaia";"Tasa % por 1000 Habitantes";10,9
2022;"Bizkaia";"Defunciones Totales";13152
2022;"Bizkaia";"Tasa % por 1000 Habitantes";11,5
2023;"Bizkaia";"Defunciones Totales";11888
2023;"Bizkaia";"Tasa % por 1000 Habitantes";10,4
2024;"Bizkaia";"Defunciones Totales";12041
2024;"Bizkaia";"Tasa % por 1000 Habitantes";10,4
2025;"Bizkaia";"Defunciones Totales";12515
2025;"Bizkaia";"Tasa % por 1000 Habitantes";10,8
1975;"Gipuzkoa";"Defunciones Totales";4726
1975;"Gipuzkoa";"Tasa % por 1000 Habitantes";7
1976;"Gipuzkoa";"Defunciones Totales";4720
1976;"Gipuzkoa";"Tasa % por 1000 Habitantes";6,9
1977;"Gipuzkoa";"Defunciones Totales";4602
1977;"Gipuzkoa";"Tasa % por 1000 Habitantes";6,7
1978;"Gipuzkoa";"Defunciones Totales";4393
1978;"Gipuzkoa";"Tasa % por 1000 Habitantes";6,4
1979;"Gipuzkoa";"Defunciones Totales";4208
1979;"Gipuzkoa";"Tasa % por 1000 Habitantes";6,1
1980;"Gipuzkoa";"Defunciones Totales";4262
1980;"Gipuzkoa";"Tasa % por 1000 Habitantes";6,1
1981;"Gipuzkoa";"Defunciones Totales";4444
1981;"Gipuzkoa";"Tasa % por 1000 Habitantes";6,4
1982;"Gipuzkoa";"Defunciones Totales";4219
1982;"Gipuzkoa";"Tasa % por 1000 Habitantes";6,1
1983;"Gipuzkoa";"Defunciones Totales";4909
1983;"Gipuzkoa";"Tasa % por 1000 Habitantes";7,1
1984;"Gipuzkoa";"Defunciones Totales";4671
