Año;Ocupacion;Sexo;Ámbito territorial;Magnitud;Valor
2024;"Empresaria";"Mujer";"C.A. de Euskadi";"%";37,2
2021;"Empresaria";"Mujer";"C.A. de Euskadi";"%";33,5
2017;"Empresaria";"Mujer";"C.A. de Euskadi";"%";34,5
2015;"Empresaria";"Mujer";"C.A. de Euskadi";"%";33,7
2023;"Empresaria";"Mujer";"C.A. de Euskadi";"%";35,1
2016;"Empresaria";"Mujer";"C.A. de Euskadi";"%";34,7
2012;"Empresaria";"Mujer";"C.A. de Euskadi";"%";36
2022;"Empresaria";"Mujer";"C.A. de Euskadi";"%";33,1
2010;"Empresaria";"Mujer";"C.A. de Euskadi";"%";32,6
2018;"Empresaria";"Mujer";"C.A. de Euskadi";"%";35,4
2013;"Empresaria";"Mujer";"C.A. de Euskadi";"%";34,7
2020;"Empresaria";"Mujer";"Araba/Álava";"%";30,9
2019;"Empresaria";"Mujer";"Araba/Álava";"%";34,6
2018;"Empresaria";"Mujer";"Araba/Álava";"%";36
2011;"Empresaria";"Mujer";"Araba/Álava";"%";31,8
2015;"Empresaria";"Mujer";"Araba/Álava";"%";36,7
2013;"Empresaria";"Mujer";"Araba/Álava";"%";31,8
2017;"Empresaria";"Mujer";"Araba/Álava";"%";32,8
2024;"Empresaria";"Mujer";"Araba/Álava";"%";27,3
2022;"Empresaria";"Mujer";"Araba/Álava";"%";30,7
2016;"Empresaria";"Mujer";"Araba/Álava";"%";34,9
2010;"Empresaria";"Mujer";"Araba/Álava";"%";35,2
2012;"Empresaria";"Mujer";"Araba/Álava";"%";33,6
2014;"Empresaria";"Mujer";"Araba/Álava";"%";33,3
2021;"Empresaria";"Mujer";"Araba/Álava";"%";31,3
2023;"Empresaria";"Mujer";"Araba/Álava";"%";27,7
2015;"Empresaria";"Mujer";"Bizkaia";"%";33
2024;"Empresaria";"Mujer";"Bizkaia";"%";37,7
2023;"Empresaria";"Mujer";"Bizkaia";"%";37
2022;"Empresaria";"Mujer";"Bizkaia";"%";34,6
2021;"Empresaria";"Mujer";"Bizkaia";"%";33,5
2020;"Empresaria";"Mujer";"Bizkaia";"%";35,8
2019;"Empresaria";"Mujer";"Bizkaia";"%";34,9
2017;"Empresaria";"Mujer";"Bizkaia";"%";33,8
2016;"Empresaria";"Mujer";"Bizkaia";"%";34
2014;"Empresaria";"Mujer";"Bizkaia";"%";34,9
2013;"Empresaria";"Mujer";"Bizkaia";"%";35,7
2012;"Empresaria";"Mujer";"Bizkaia";"%";36,9
2011;"Empresaria";"Mujer";"Bizkaia";"%";36,6
2018;"Empresaria";"Mujer";"Bizkaia";"%";35
2010;"Empresaria";"Mujer";"Bizkaia";"%";33,5
2022;"Empresaria";"Mujer";"Gipuzkoa";"%";32
2021;"Empresaria";"Mujer";"Gipuzkoa";"%";34,3
2019;"Empresaria";"Mujer";"Gipuzkoa";"%";35,6
