Año;Habilidad informática;Edad;Sexo;Ámbito territorial;Magnitud;Valor
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"C.A. de Euskadi";"%";43,1
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"C.A. de Euskadi";"%";42,3
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"C.A. de Euskadi";"%";46
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Araba/Álava";"%";38,4
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Araba/Álava";"%";38,1
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Araba/Álava";"%";43,8
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Araba/Álava";"%";43
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Araba/Álava";"%";41,8
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Araba/Álava";"%";46,6
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Araba/Álava";"%";43,5
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Bizkaia";"%";40,7
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Bizkaia";"%";45,1
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Bizkaia";"%";42,4
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Bizkaia";"%";46,1
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Bizkaia";"%";41,9
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Bizkaia";"%";40,6
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Bizkaia";"%";43,5
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Gipuzkoa";"%";45,7
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Gipuzkoa";"%";42,2
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"Total";"Total";"Gipuzkoa";"%";42,3
