Año;Habilidad informática;Edad;Sexo;Ámbito territorial;Magnitud;Valor
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Mujer";"Gipuzkoa";"%";38,1
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Mujer";"Gipuzkoa";"%";31,2
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Mujer";"Gipuzkoa";"%";31,6
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Mujer";"Gipuzkoa";"%";19,6
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Mujer";"Gipuzkoa";"%";50,5
2020;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"C.A. de Euskadi";"%";88
2024;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"C.A. de Euskadi";"%";83
2021;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"C.A. de Euskadi";"%";85,6
2022;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"C.A. de Euskadi";"%";89,6
2019;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"C.A. de Euskadi";"%";93,7
2023;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"C.A. de Euskadi";"%";92,9
2025;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"C.A. de Euskadi";"%";80,4
2021;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Araba/Álava";"%";86,5
2019;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Araba/Álava";"%";91,8
2022;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Araba/Álava";"%";91,4
2023;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Araba/Álava";"%";96,8
2024;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Araba/Álava";"%";91,2
2020;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Araba/Álava";"%";80,8
2025;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Araba/Álava";"%";79,2
2025;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Bizkaia";"%";81,4
2024;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Bizkaia";"%";82,1
2021;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Bizkaia";"%";84,9
2019;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Bizkaia";"%";93
2023;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Bizkaia";"%";90,4
2022;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Bizkaia";"%";90,4
2020;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Bizkaia";"%";85
2021;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Gipuzkoa";"%";86,2
2025;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Gipuzkoa";"%";79,2
2019;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Gipuzkoa";"%";95,6
2020;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Gipuzkoa";"%";95,6
2024;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Gipuzkoa";"%";80,9
2022;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Gipuzkoa";"%";87,4
2023;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Mujer";"Gipuzkoa";"%";95,1
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"C.A. de Euskadi";"%";90,3
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"C.A. de Euskadi";"%";86,5
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"C.A. de Euskadi";"%";86,5
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"C.A. de Euskadi";"%";84,4
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"C.A. de Euskadi";"%";85,7
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"C.A. de Euskadi";"%";83,2
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"C.A. de Euskadi";"%";88,7
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Araba/Álava";"%";74,8
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Araba/Álava";"%";93,1
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Araba/Álava";"%";85
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Araba/Álava";"%";92,2
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Araba/Álava";"%";94
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Araba/Álava";"%";89,8
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Araba/Álava";"%";83,9
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Bizkaia";"%";84,3
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Bizkaia";"%";85,8
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Bizkaia";"%";88,7
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Bizkaia";"%";80,2
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Bizkaia";"%";87,6
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Bizkaia";"%";90,7
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Bizkaia";"%";84
2021;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Gipuzkoa";"%";87,5
2025;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Gipuzkoa";"%";81,9
2024;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Gipuzkoa";"%";87,3
2023;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Gipuzkoa";"%";91,7
2022;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Gipuzkoa";"%";84,4
2020;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Gipuzkoa";"%";90
2019;"F - Crear presentaciones o documentos que integren texto, imágenes, tablas o gráficos";"16-24 años";"Mujer";"Gipuzkoa";"%";85,4
2019;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"C.A. de Euskadi";"%";8,9
2022;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"C.A. de Euskadi";"%";9,1
2021;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"C.A. de Euskadi";"%";11,1
2025;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"C.A. de Euskadi";"%";8
2024;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"C.A. de Euskadi";"%";6,3
2020;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"C.A. de Euskadi";"%";9,7
2023;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"C.A. de Euskadi";"%";12,1
2019;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Araba/Álava";"%";7,9
2021;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Araba/Álava";"%";9,2
2024;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Araba/Álava";"%";5,9
2022;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Araba/Álava";"%";4,7
2020;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Araba/Álava";"%";4,1
2025;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Araba/Álava";"%";6,5
2023;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Araba/Álava";"%";9
2025;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Bizkaia";"%";9,6
2024;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Bizkaia";"%";8,4
2023;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Bizkaia";"%";15,5
2022;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Bizkaia";"%";13,1
2021;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Bizkaia";"%";13,4
2020;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Bizkaia";"%";11,5
2019;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Bizkaia";"%";10,7
2023;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Gipuzkoa";"%";8,3
2025;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Gipuzkoa";"%";6,2
2024;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Gipuzkoa";"%";3,6
2022;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Gipuzkoa";"%";4,7
2021;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Gipuzkoa";"%";8,3
2019;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Gipuzkoa";"%";6,8
2020;"H - Programar en un lenguaje de programación";"16-24 años";"Mujer";"Gipuzkoa";"%";9,3
2020;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"C.A. de Euskadi";"%";68,8
2024;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"C.A. de Euskadi";"%";64,1
2025;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"C.A. de Euskadi";"%";64,8
2019;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"C.A. de Euskadi";"%";70,3
2021;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"C.A. de Euskadi";"%";64,2
2022;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"C.A. de Euskadi";"%";68,7
2023;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"C.A. de Euskadi";"%";64,5
2022;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Araba/Álava";"%";72,2
2021;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Araba/Álava";"%";62,5
2020;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Araba/Álava";"%";64,6
2024;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Araba/Álava";"%";75
2025;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Araba/Álava";"%";60,7
2023;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Araba/Álava";"%";62,4
2019;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Araba/Álava";"%";70,3
2022;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Bizkaia";"%";69,4
2019;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Bizkaia";"%";67,8
2024;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Bizkaia";"%";58
2021;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Bizkaia";"%";59,5
2020;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Bizkaia";"%";65,8
2025;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Bizkaia";"%";65,3
2023;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Bizkaia";"%";58,9
2025;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Gipuzkoa";"%";65,8
2022;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Gipuzkoa";"%";66,2
2021;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Gipuzkoa";"%";72,3
2023;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Gipuzkoa";"%";73,5
2020;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Gipuzkoa";"%";75,1
2019;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Gipuzkoa";"%";73,9
2024;"G - Usar hojas de cálculo";"16-24 años";"Mujer";"Gipuzkoa";"%";68,1
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"C.A. de Euskadi";"%";82,6
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"C.A. de Euskadi";"%";60,4
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"C.A. de Euskadi";"%";84,3
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"C.A. de Euskadi";"%";53,7
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"C.A. de Euskadi";"%";88,6
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"C.A. de Euskadi";"%";84,4
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"C.A. de Euskadi";"%";81,1
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Araba/Álava";"%";89,9
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Araba/Álava";"%";82,3
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Araba/Álava";"%";85,6
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Araba/Álava";"%";77,7
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Araba/Álava";"%";56,9
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Araba/Álava";"%";87,2
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Araba/Álava";"%";84,9
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Bizkaia";"%";85,6
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Bizkaia";"%";81,2
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Bizkaia";"%";48,9
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Bizkaia";"%";84,2
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Bizkaia";"%";89
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Bizkaia";"%";60,6
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Bizkaia";"%";83,6
2024;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Gipuzkoa";"%";50,2
2020;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Gipuzkoa";"%";83,6
2021;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Gipuzkoa";"%";80
2023;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Gipuzkoa";"%";82,2
2022;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Gipuzkoa";"%";78,9
2025;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Gipuzkoa";"%";61,7
2019;"C - Transferir ficheros entre el ordenador y otros dispositivos (móviles, cámaras, etc)";"16-24 años";"Mujer";"Gipuzkoa";"%";88,6
2022;"A - Al menos una / Competencia global";"16-24 años";"Total";"C.A. de Euskadi";"%";95,5
2023;"A - Al menos una / Competencia global";"16-24 años";"Total";"C.A. de Euskadi";"%";95,9
2024;"A - Al menos una / Competencia global";"16-24 años";"Total";"C.A. de Euskadi";"%";93,9
2025;"A - Al menos una / Competencia global";"16-24 años";"Total";"C.A. de Euskadi";"%";92,2
2021;"A - Al menos una / Competencia global";"16-24 años";"Total";"C.A. de Euskadi";"%";96,2
2020;"A - Al menos una / Competencia global";"16-24 años";"Total";"C.A. de Euskadi";"%";95,9
2019;"A - Al menos una / Competencia global";"16-24 años";"Total";"C.A. de Euskadi";"%";95,7
2022;"A - Al menos una / Competencia global";"16-24 años";"Total";"Araba/Álava";"%";94,6
2021;"A - Al menos una / Competencia global";"16-24 años";"Total";"Araba/Álava";"%";96,8
2024;"A - Al menos una / Competencia global";"16-24 años";"Total";"Araba/Álava";"%";95,8
2019;"A - Al menos una / Competencia global";"16-24 años";"Total";"Araba/Álava";"%";95,6
2020;"A - Al menos una / Competencia global";"16-24 años";"Total";"Araba/Álava";"%";98,4
2025;"A - Al menos una / Competencia global";"16-24 años";"Total";"Araba/Álava";"%";91,6
2023;"A - Al menos una / Competencia global";"16-24 años";"Total";"Araba/Álava";"%";99,5
2019;"A - Al menos una / Competencia global";"16-24 años";"Total";"Bizkaia";"%";97,1
2023;"A - Al menos una / Competencia global";"16-24 años";"Total";"Bizkaia";"%";93,8
2020;"A - Al menos una / Competencia global";"16-24 años";"Total";"Bizkaia";"%";94,2
2025;"A - Al menos una / Competencia global";"16-24 años";"Total";"Bizkaia";"%";92
2022;"A - Al menos una / Competencia global";"16-24 años";"Total";"Bizkaia";"%";95,4
2024;"A - Al menos una / Competencia global";"16-24 años";"Total";"Bizkaia";"%";92
2021;"A - Al menos una / Competencia global";"16-24 años";"Total";"Bizkaia";"%";94,4
2021;"A - Al menos una / Competencia global";"16-24 años";"Total";"Gipuzkoa";"%";98,4
2023;"A - Al menos una / Competencia global";"16-24 años";"Total";"Gipuzkoa";"%";97,3
2022;"A - Al menos una / Competencia global";"16-24 años";"Total";"Gipuzkoa";"%";96,1
2020;"A - Al menos una / Competencia global";"16-24 años";"Total";"Gipuzkoa";"%";97,2
2019;"A - Al menos una / Competencia global";"16-24 años";"Total";"Gipuzkoa";"%";94
2025;"A - Al menos una / Competencia global";"16-24 años";"Total";"Gipuzkoa";"%";92,7
2024;"A - Al menos una / Competencia global";"16-24 años";"Total";"Gipuzkoa";"%";95,8
2025;"D - Instalar software o aplicaciones";"16-24 años";"Total";"C.A. de Euskadi";"%";63,9
2019;"D - Instalar software o aplicaciones";"16-24 años";"Total";"C.A. de Euskadi";"%";83,4
2020;"D - Instalar software o aplicaciones";"16-24 años";"Total";"C.A. de Euskadi";"%";87,5
2024;"D - Instalar software o aplicaciones";"16-24 años";"Total";"C.A. de Euskadi";"%";69,3
2022;"D - Instalar software o aplicaciones";"16-24 años";"Total";"C.A. de Euskadi";"%";81,1
2021;"D - Instalar software o aplicaciones";"16-24 años";"Total";"C.A. de Euskadi";"%";88,7
2023;"D - Instalar software o aplicaciones";"16-24 años";"Total";"C.A. de Euskadi";"%";76,6
2019;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Araba/Álava";"%";82,8
2021;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Araba/Álava";"%";89,7
2023;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Araba/Álava";"%";72,3
2025;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Araba/Álava";"%";62
2020;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Araba/Álava";"%";92,4
2022;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Araba/Álava";"%";79,5
2024;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Araba/Álava";"%";70
2019;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Bizkaia";"%";84,9
2022;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Bizkaia";"%";82,2
2025;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Bizkaia";"%";64,2
2023;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Bizkaia";"%";76
2021;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Bizkaia";"%";87,1
2020;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Bizkaia";"%";87,1
2024;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Bizkaia";"%";64,8
2024;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Gipuzkoa";"%";75,3
2021;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Gipuzkoa";"%";90,5
2019;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Gipuzkoa";"%";81,5
2022;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Gipuzkoa";"%";80
2020;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Gipuzkoa";"%";86
2023;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Gipuzkoa";"%";79,3
2025;"D - Instalar software o aplicaciones";"16-24 años";"Total";"Gipuzkoa";"%";64,2
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"C.A. de Euskadi";"%";30,9
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"C.A. de Euskadi";"%";45,5
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"C.A. de Euskadi";"%";26,8
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"C.A. de Euskadi";"%";39,3
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"C.A. de Euskadi";"%";46,2
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"C.A. de Euskadi";"%";47,1
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"C.A. de Euskadi";"%";36,7
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Araba/Álava";"%";40,3
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Araba/Álava";"%";50,9
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Araba/Álava";"%";24,8
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Araba/Álava";"%";40,3
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Araba/Álava";"%";37,6
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Araba/Álava";"%";33,9
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Araba/Álava";"%";39,4
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Bizkaia";"%";28,9
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Bizkaia";"%";47,3
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Bizkaia";"%";36,4
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Bizkaia";"%";45,5
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Bizkaia";"%";28
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Bizkaia";"%";40,8
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Bizkaia";"%";46,3
2024;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Gipuzkoa";"%";31
2020;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Gipuzkoa";"%";46,5
2022;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Gipuzkoa";"%";35,6
2023;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Gipuzkoa";"%";48,4
2021;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Gipuzkoa";"%";47,3
2019;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Gipuzkoa";"%";26
2025;"E - Cambiar la configuración de cualquier software, incluídos el sistema operativo, programas de seguridad";"16-24 años";"Total";"Gipuzkoa";"%";39,4
2020;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"C.A. de Euskadi";"%";86,6
2024;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"C.A. de Euskadi";"%";81,4
2021;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"C.A. de Euskadi";"%";86,6
2022;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"C.A. de Euskadi";"%";87,4
2023;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"C.A. de Euskadi";"%";89,1
2025;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"C.A. de Euskadi";"%";79,6
2019;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"C.A. de Euskadi";"%";89,4
2025;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Araba/Álava";"%";80,8
2019;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Araba/Álava";"%";91,1
2024;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Araba/Álava";"%";86,7
2022;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Araba/Álava";"%";82,6
2021;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Araba/Álava";"%";85,7
2023;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Araba/Álava";"%";94,8
2020;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Araba/Álava";"%";80,6
2020;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Bizkaia";"%";83,3
2021;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Bizkaia";"%";87,2
2019;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Bizkaia";"%";90
2023;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Bizkaia";"%";87,1
2024;"B - Copiar o mover ficheros o carpetas";"16-24 años";"Total";"Bizkaia";"%";81,2
