ODS Indicador
"Acidez media del mar (pH) medida en un conjunto convenido de estaciones de muestreo representativas"
"Cobertura de las zonas protegidas en relación con las zonas marinas"
"Superficie forestal en proporción a la superficie total"
"Proporción de lugares importantes para la biodiversidad terrestre y del agua dulce incluidos en zonas protegidas"
"Superficie de las áreas terrestres protegidas (km2 y porcentaje) (Indicador UE sdg_15_20)"
"Avances hacia la gestión forestal sostenible"
"Proporción de tierras degradadas en comparación con la superficie total"
"Lugares importantes para la biodiversidad de las montañas incluidos en zonas protegidas"
"Índice de cobertura verde de las montañas y proporción de terreno montañoso degradado"
"Proporción de países que han aprobado legislación para la prevención o el control de las especies exóticas invasoras"
"Número de víctimas de homicidios intencionales por cada 100.000 habitantes, desglosado por sexo y edad"
"Muertes relacionadas con conflictos por cada 100.000 habitantes"
"Proporción de la población que se siente segura al caminar sola en su zona de residencia después de que oscurece"
"Población que reporta ocurrencia de delitos, violencia o vandalismo en su área (Indicador UE sdg_16_20)"
"Número de víctimas de la trata de personas por cada 100.000 habitantes"
"Proporción de personas detenidas que no han sido condenadas en el conjunto de la población reclusa total"
"Gastos primarios del gobierno en proporción al presupuesto aprobado originalmente"
"Proporción de la población que se siente satisfecha con su última experiencia de los servicios públicos"
"Proporciones de plazas en las instituciones nacionales y locales en comparación con la distribución nacional"
"Proporción de niños/as menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil"
"Total de ingresos del gobierno en proporción al PIB, desglosado por fuente"
"Proporción del presupuesto nacional financiado por impuestos internos"
"Tablero macroeconómico"
"Número de países cuya legislación nacional sobre estadísticas cumple los Principios Fundamentales de las Estadísticas Oficiales"
"Número de países que cuentan con un plan estadístico nacional plenamente financiado y en proceso de aplicación"
"Proporción de países que han realizado un censo de población y vivienda en los últimos diez años y registrado nacimientos y defunciones"
"Asistencia oficial para el desarrollo neta, total y para los países menos adelantados, en proporción al INB de los donantes del CAD-OCDE"
"Recursos financieros adicionales movilizados para los países en desarrollo procedentes de múltiples fuentes"
"Volumen de remesas (en dólares de los Estados Unidos) en proporción al PIB total"
"Número de abonados/as a servicios de banda ancha fija por cada 100 habitantes, desglosado por velocidad"
"Proporción de personas que utilizan Internet"
"Prevalencia de la inseguridad alimentaria moderada o grave entre la población, según la escala de experiencia de inseguridad alimentaria"
"Prevalencia de la malnutrición entre las y los niños menores de 5 años, desglosada por tipo (emaciación y sobrepeso)"
"Tasa de obesidad de la población adulta según el índice de masa corporal (IMC) (Indicador UE sdg_02_10)"
"Volumen de producción por unidad de trabajo desglosado por tamaño y tipo de explotación (agropecuaria/ganadera/forestal)"
"Media de ingresos de los productores de alimentos en pequeña escala, desglosada por sexo y condición indígena"
"Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible"
"Superficie dedicada a la agricultura ecológica (Indicador UE sdg_02_40)"
"Emisiones de amoníaco de la agricultura y ganadería (Indicador UE sdg_02_60)"
"Índice de orientación agrícola para el gasto público"
"Total de corrientes oficiales de recursos destinado al sector agrícola"
"Indicador de anomalías en los precios de los alimentos"
"Tasa de mortalidad materna"
"Proporción de partos atendidos por personal sanitario especializado"
"Tasa de mortalidad de niños/as menores de 5 años"
"Tasa de mortalidad neonatal"
"Número de nuevas infecciones por el VIH por cada 1.000 habitantes no infectados/as, desglosado por sexo, edad y poblaciones clave"
"Incidencia de la tuberculosis por cada 100.000 habitantes"
"Incidencia de la malaria por cada 1.000 habitantes"
"Incidencia de la hepatitis B por cada 100.000 habitantes"
"Tasa de mortalidad atribuida a las enfermedades cardiovasculares, el cáncer, la diabetes o las enfermedades respiratorias crónicas"
"Tasa de mortalidad por suicidio"
"Tasa de participación en los programas de cribado poblacional de cáncer (Indicador Gobierno Vasco)"
"Esperanza de vida al nacer (Indicador Gobierno Vasco)"
"Cobertura de los tratamientos de trastornos por abuso de sustancias adictivas"
"Consumo de alcohol per cápita (a partir de los 15 años) durante un año civil en litros de alcohol puro"
"Tasa de mortalidad por lesiones debidas a accidentes de tráfico"
"Proporción de mujeres en edad de procrear que cubren sus necesidades de planificación familiar con métodos modernos"
"Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad"
"Cobertura de los servicios de salud esenciales"
"Proporción de la población con grandes gastos sanitarios por hogar como porcentaje del total de gastos o ingresos de los hogares"
"Tasa de mortalidad atribuida a la contaminación de los hogares y del aire ambiente"
"Tasa de mortalidad atribuida a intoxicaciones involuntarias"
"Prevalencia del consumo actual de tabaco a partir de los 15 años de edad"
"Proporción de la población inmunizada con todas las vacunas incluidas en cada programa nacional"
"Total neto de asistencia oficial para el desarrollo destinado a los sectores de la investigación médica y la atención sanitaria básica"
"Densidad y distribución del personal sanitario"
"Proporción de niños/as y adolescentes que han alcanzado al menos un nivel mínimo de competencia en lectura y matemáticas, desglosada por sexo"
"Tasa de finalización (educación primaria, secundaria inferior y secundaria superior)"
"Tasa de abandono escolar prematuro de la población de 18-24 años (Indicador UE sdg_04_10)"
"Tasa de participación en el aprendizaje organizado (un año antes de la edad oficial de ingreso en la educación primaria), desglosada por sexo"
"Tasa de participación de personas jóvenes y adultas en la educación y formación académica y no académica en los últimos 12 meses"
"Proporción de personas jóvenes y adultas con competencias en tecnología de la información y las comunicaciones (TIC)"
"Índices de paridad para todos los indicadores de educación de esta lista que puedan desglosarse"
"Proporción de la población en un grupo de edad determinado que ha alcanzado al menos un nivel fijo de competencia funcional en alfabetización y aritmética"
"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio"
"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo"
"Determinar si existen o no marcos jurídicos para promover, hacer cumplir y supervisar la igualdad y la no discriminación por razón de sexo"
"Proporción de mujeres y niñas a partir de 15 años que han sufrido violencia física, sexual o psicológica a manos de su pareja en los últimos 12 meses"
"Proporción de mujeres y niñas a partir de 15 años que han sufrido violencia sexual a manos de personas que no eran su pareja en los últimos 12 meses"
"Proporción de mujeres de entre 20 y 24 años que estaban casadas o mantenían una unión estable antes de cumplir los 15 años y antes de cumplir los 18 años"
"Proporción de tiempo dedicado al trabajo doméstico y asistencial no remunerado, desglosada por sexo, edad y ubicación"
"Proporción de escaños ocupados por mujeres en los parlamentos nacionales y los gobiernos locales"
"Proporción de mujeres en cargos directivos"
"Proporción de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas, desglosada por sexo"
"Proporción de países cuyo ordenamiento jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de las tierras"
"Proporción de personas que poseen un teléfono móvil, desglosada por sexo"
"Proporción de la población que utiliza servicios de suministro de agua potable gestionados sin riesgos"
"Proporción de la población que utiliza servicios de saneamiento gestionados sin riesgos y de lavado de manos con agua y jabón"
"Proporción de los flujos de aguas residuales domésticas e industriales tratados de manera adecuada"
"Proporción de masas de agua de buena calidad"
"Nivel de estrés hídrico: extracción de agua dulce en proporción a los recursos de agua dulce disponibles"
"Proporción de la superficie de cuencas transfronterizas sujetas a arreglos operacionales para la cooperación en materia de aguas"
"Proporción de dependencias administrativas locales que han establecido políticas para la participación de las comunidades locales en la gestión del agua y el saneamiento"
"Proporción de la población que tiene acceso a la electricidad"
"Proporción de la población cuya fuente primaria de energía son los combustibles y tecnologías limpios"
"Proporción de energía renovable en el consumo final total de energía"
"Intensidad energética medida en función de la energía primaria y el PIB"
"Capacidad instalada de generación de energía renovable en los países en desarrollo y en los países desarrollados (vatios per cápita)"
"Tasa de crecimiento anual del PIB real per cápita"
"Número de sucursales de bancos comerciales y cajeros automáticos por cada 100.000 personas adultas"
"Proporción de adultos/as que tienen una cuenta en un banco u otra institución financiera"
"Tasa de crecimiento anual del PIB real por persona empleada"
"Ingreso medio por hora de las personas empleadas, desglosado por sexo, edad, ocupación y discapacidad"
"Tasa de desempleo, desglosada por sexo, edad y personas con discapacidad"
"Tasa de ocupación de la población (Indicador UE sdg_08_30)"
"Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados/as ni reciben capacitación"
"Lesiones ocupacionales mortales y no mortales por cada 100.000 trabajadores"
"PIB generado directamente por el turismo en proporción al PIB total y a la tasa de crecimiento"
"Existencia de una estrategia nacional organizada y en marcha para el empleo de las personas jóvenes"
"Proporción de la población rural que vive a menos de 2 km de una carretera transitable todo el año"
"Volumen de transporte de pasajeros y carga, desglosado por medio de transporte"
"Valor añadido del sector manufacturero en proporción al PIB y per cápita"
"Empleo del sector manufacturero en proporción al empleo total"
"Proporción del valor añadido total del sector industrial correspondiente a las pequeñas industrias"
"Emisiones de CO2 por unidad de valor añadido"
"Intensidad de las emisiones atmosféricas de la industria manufacturera (Indicador UE sdg_09_70)"
"Gastos en investigación y desarrollo en proporción al PIB"
"Número de personas investigadoras (equivalente a tiempo completo) por cada millón de habitantes"
"Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total"
"Proporción de la población con cobertura de red móvil, desglosada por tecnología"
